lcd,pld,void_fraction,surface_area_m2g,surface_area_m2cm3,Nitrogen adsorption,name,Avg. electronegativity,Avg. metal ionization energy,Avg. outer orbital energy,Electron density,Metal-oxygen distance,Avg. linker num.,OMS density,Hydrogen adsorption
9.80097,6.59404,0.795213,4422.9,2353.59,3022.6970785185154,LURGEL,2.4805,9.394197,-0.222725,0.16426703426008193,2.642031271591416,5.333333333333333,0.0,1209.6000000000001
18.9972,17.5755,0.889583,3575.35,1163.17,1903.689250821925,ECOKAJ,2.61018691588785,9.394197,-0.222725,0.09850165444876635,2.6150378321055765,4.0,0.02803738317757,1198.3999999999999
15.0723,13.1298,0.818369,4320.53,2072.28,1054.4443730987637,XUTQEI,2.5621212121212125,7.639878,-0.210764,0.14730306049645123,2.6814700669998524,4.0,0.0303030303030303,1198.3999999999999
14.5391,12.0772,0.825413,3958.23,1990.22,1007.6533974781518,LIHFAK,2.5233684210526315,9.394197,-0.222725,0.15247907166196878,2.491277422687904,4.0,0.0,1153.6000000000001
19.4749,13.2777,0.86799,3716.83,1494.17,1418.323548307139,AXINAX,2.5271571906354513,7.88101,-0.204497,0.12228046869034091,2.569098160971755,3.8181818181818175,0.0367892976588628,1142.3999999999999
10.0815,7.22011,0.831364,4020.69,2304.1,0.0,ENITAX,2.542181818181818,7.72638,-0.172056,0.1737457210107366,2.545776721182124,4.666666666666667,0.0363636363636363,1142.3999999999999
12.5908,11.0123,0.799476,3326.93,1934.92,814.5103016354826,FUNBOG,2.5464285714285713,9.394197,-0.222725,0.17387987195099172,2.6418865495162724,5.0,0.0238095238095238,1008.0
8.54787,6.748,0.829773,5031.53,2917.98,4200.523821391425,ALUKOI,2.578604651162791,5.64371,-0.128259,0.16997867330253483,2.7844863105248656,7.0,0.0232558139534883,940.8000000000001
11.4578,9.81279,0.766452,3215.57,1954.26,738.9645898164508,WONZUV,2.558676470588235,9.394197,-0.222725,0.1862556544134819,10.0,6.0,0.0,929.6
8.53005,6.74275,0.829814,5000.83,2955.03,4148.739190925609,ALULAV,2.5793023255813954,6.1498,-0.12722,0.17233323824458605,2.7787560351098133,6.0,0.0232558139534883,929.6
15.2027,12.4876,0.799528,3658.71,1825.7,631.1936558332128,XOXMED,2.553089005235602,9.394197,-0.222725,0.1530815170815994,2.585764864441524,4.0,0.0209424083769633,896.0
8.38842,6.72694,0.8338,5106.75,2948.04,63853.44907243399,AMOFAK,2.522608695652174,5.670385,-0.129426,0.1702482957290685,2.757692756557677,7.0,0.0217391304347826,884.8
25.7153,12.0883,0.913288,5749.51,1664.21,2078.8120049341182,HABQUY,2.5533333333333332,7.72638,-0.172056,0.08766017232482635,2.5214076734197373,5.0,0.0303030303030303,1780.8
27.5122,14.8846,0.922072,5102.94,1426.75,134788.05433489545,NIBHOW,2.5851612903225805,7.72638,-0.172056,0.08470940782384079,2.559200703532061,5.0,0.032258064516129,1646.3999999999999
23.7283,19.638,0.90336,5152.2,1695.93,1863.9565405226022,XAFFUH,2.528947368421053,7.72638,-0.172056,0.10065802947248606,2.537612362558063,5.0,0.0263157894736842,1579.1999999999998
15.2806,14.4886,0.898974,5151.95,1814.61,1630.1698958005531,VAGMEX,2.5223684210526316,9.394197,-0.222725,0.10774143567890318,2.67551368565707,4.0,0.0263157894736842,1568.0000000000002
14.9126,13.243,0.893631,5181.08,1892.05,1576.2283331214176,XAFFAN,2.5223684210526316,9.394197,-0.222725,0.11170761026458174,2.6523906280787046,4.0,0.0263157894736842,1556.8000000000002
14.9209,13.2628,0.893672,5202.74,1897.6,1775.827708632433,VAGMAT,2.5223684210526316,9.394197,-0.222725,0.11156922134040205,2.655545924239812,4.0,0.0263157894736842,1545.6000000000001
